word,count
롯데케미칼,897
롯데지주,44
삼성SDI,44
SK,37
대상,31
롯데정밀화학,29
SKC,29
LS,18
PI첨단소재,16
LG화학,14
한화솔루션,14
한화,13
GS,11
LG,10
대우조선해양,10
두산,5
HMM,5
NH투자증권,3
LG에너지솔루션,3
카카오,3
대한유화,3
한샘,3
SK아이이테크놀로지,3
기아,2
포스코케미칼,2
CJ,2
LG이노텍,2
DL,2
현대미포조선,2
삼성전자,2
하이브,2
GS건설,2
미래에셋증권,2
SK하이닉스,2
삼성바이오로직스,1
메리츠화재,1
메리츠증권,1
효성첨단소재,1
현대제철,1
SK케미칼,1
삼성증권,1
넷마블,1
한국항공우주,1
일진하이솔루스,1
롯데쇼핑,1
효성,1
삼성중공업,1
이마트,1
OCI,1
두산에너빌리티,1
셀트리온,1
HDC현대산업개발,1
케이카,1
DB하이텍,1
삼성전기,1
SK이노베이션,1
현대중공업,1
